32%,Offered on campus,129,$25,Offered at cooperating institution (Auburn University--Montgomery),3.3%,"$18,943",60%,2.8,"$5,621","$5,180","$11,295","$12,129","$6,320","$8,402","$32,122",172,0%,42.7%,No,No,119,48%,14,4%,11%,65%,59%,87%,133,N/A,10.0,2.1%,Not offered,5,4,31%,8,2.3,83.1%,24%,83%,82,Either SAT or ACT,"$5,422 (2016-17)",15-23,N/A,Less selective,16:1,136,40%,65%,"5,383",0,2%,3%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67%,Offered at cooperating institution (University of Alaska--Anchorage),91,$25,Not offered,N/A,N/A,66%,3.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,170,N/A,N/A,Yes,Yes,89,69%,4,N/A,N/A,N/A,N/A,N/A,48,N/A,11.0,0%,Not offered,0,0,N/A,5,2.5,N/A,62%,N/A,15,Either SAT or ACT,"$7,260 (2016-17)",830-1122,38,Less selective,8:1,89,98%,N/A,517,"$20,380 (2016-17)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
N/A,Offered at cooperating institution (Siena College),N/A,$75,Offered at cooperating institution (Siena College),N/A,N/A,N/A,3.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35,N/A,N/A,No,Yes,N/A,N/A,N/A,N/A,N/A,87%,N/A,N/A,N/A,N/A,12.0,6.3%,Offered at cooperating institution (Siena College),2,0,20%,N/A,N/A,N/A,N/A,N/A,37,Either SAT or ACT,"$10,700 (2016-17)",N/A,N/A,N/A,9:1,N/A,70%,N/A,"1,482","$31,981 (2016-17)",3%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31%,Not offered,96,$25,Offered on campus,4.5%,N/A,71%,2.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232,2%,52.1%,No,No,129,64%,78,10%,37%,72%,N/A,N/A,91,N/A,13.0,0.3%,Not offered,6,5,2%,3,2.3,92.3%,28%,67%,50,Either SAT or ACT,"$7,788 (2016-17)",840-950,N/A,Less selective,17:1,125,20%,70%,"3,492",0,7%,10%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59%,Not offered,144,$35,Not offered,N/A,"$16,655",82%,2.6,"$19,312","$12,094",$0,$0,$0,"$9,551","$39,125",55,0%,88.5%,No,No,20,69%,148,7%,24%,91%,N/A,91%,88,N/A,14.0,1.6%,Not offered,0,0,4%,21,2.2,55.5%,38%,82%,10,Either SAT or ACT,"$14,016 (2016-17)",820-950,47,Less selective,14:1,169,60%,90%,"1,515","$30,526 (2016-17)",0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65%,Not offered,111,N/A,Not offered,20.2%,"$32,521",80%,3.4,"$32,079","$27,732",$0,$0,"$24,220","$19,522","$37,138",574,0%,62.8%,Yes,No,146,79%,84,N/A,N/A,94%,N/A,68%,113,3.4,15.0,2.5%,Not offered,6,6,12%,-5,2.7,87%,70%,74%,110,Either SAT or ACT,"$11,610 (2016-17)",22-27,48,Selective,12:1,135,70%,80%,"1,376","$41,040 (2016-17)",37%,30%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58%,Not offered,214,$35,Offered at cooperating institution (Kutztown University of Pennsylvania),8.8%,"$34,550",75%,3.3,"$30,490","$28,762",$0,$0,"$16,344","$16,575","$30,901",118,1%,61.1%,No,No,180,49%,212,16%,38%,80%,55%,79%,177,3.2,16.0,2.9%,Not offered,3,3,38%,0,2.5,84.7%,58%,89%,70,Neither SAT nor ACT,"$11,188 (2016-17)",960-1150,N/A,Selective,13:1,186,N/A,90%,"2,272","$41,544 (2016-17)",15%,20%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34%,Not offered,49,N/A,Offered on campus,8.5%,"$14,742",72%,3,"$6,139","$5,831","$12,184","$12,184","$7,691","$7,651","$31,925","1,756",4%,51.4%,No,No,58,81%,28,N/A,N/A,68%,N/A,51%,99,N/A,17.0,1.3%,Not offered,4,4,19%,6,2.3,89%,28%,41%,85,Either SAT or ACT,"$9,356 (2016-17)",16-20,40,Less selective,17:1,125,N/A,85%,"3,518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,35,0,0,0,0,0,0,0,0
36%,Not offered,10,N/A,Not offered,13.2%,"$21,773",59%,3.3,"$18,841","$17,474","$14,943","$14,828","$10,727","$12,337","$23,715",170,4%,61.6%,No,No,68,54%,23,11%,31%,47%,55%,88%,21,N/A,18.0,4.5%,Not offered,3,3,63%,-11,2.5,84.2%,47%,84%,38,Either SAT or ACT,"$8,050 (2016-17)",19-23,40,Selective,17:1,22,65%,87%,"1,154","$25,350 (2016-17)",4%,5%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60%,Not offered,180,$50,Offered at cooperating institution (St. Bonaventure University),12.2%,"$29,107",73%,3,"$23,470","$22,216",N/A,N/A,"$13,286","$12,286","$35,819",600,3%,66.9%,No,Yes,146,68%,129,15%,43%,89%,N/A,90%,161,3.4,19.0,2.1%,Not offered,0,0,20%,-3,2.6,92.4%,63%,86%,80,Either SAT or ACT,"$12,196 (2016-17)",920-1150,40,Selective,11:1,175,85%,88%,"2,286","$31,070 (2016-17)",0%,0%,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30%,Not offered,13,N/A,Not offered,43.1%,"$13,179",63%,3.6,"$8,616","$9,557",$0,$0,"$6,409","$5,819","$10,591",175,3%,53.2%,No,No,228,5%,227,17%,49%,66%,39%,42%,215,3,20.0,0.3%,Not offered,0,0,N/A,-8,2.1,81.3%,38%,89%,20,Either SAT or ACT,"$6,240 (2016-17)",19-24,N/A,Selective,17:1,161,15%,87%,616,"$11,550 (2016-17)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75%,Not offered,90,N/A,Not offered,22.6%,"$36,790",85%,3.7,"$32,544","$29,000",N/A,N/A,"$19,878","$17,480",N/A,565,1%,69.7%,No,Yes,91,68%,84,35%,65%,91%,93%,N/A,83,3.6,21.0,2.9%,Not offered,5,5,48%,2,3.1,95.6%,73%,72%,123,Neither SAT nor ACT,"$11,170 (2016-17)",1013-1250,59,More selective,11:1,99,80%,77%,"1,931","$44,250 (2016-17)",28%,29%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,90,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,N/A,N/A,$50,Offered at cooperating institution (University of Northern Iowa),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37%,N/A,0%,N/A,N/A,22.0,0%,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Neither SAT nor ACT,"$7,281 (2016-17)",N/A,N/A,N/A,11:1,N/A,N/A,N/A,611,"$17,769 (2016-17)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24%,Not offered,184,N/A,Offered at cooperating institution (Benedict College),N/A,N/A,59%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,206,43%,223,N/A,N/A,N/A,N/A,N/A,225,2.6,23.0,N/A,Offered at cooperating institution (University of South Carolina),4,4,N/A,8,1.9,100%,16%,N/A,11,Neither SAT nor ACT,"$6,560 (2015-16)",N/A,N/A,Selective,N/A,191,80%,N/A,N/A,"$13,540 (2015-16)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,Not offered,260,$65,Not offered,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,N/A,N/A,No,No,283,N/A,239,N/A,N/A,N/A,N/A,N/A,251,N/A,24.0,16.4%,Not offered,0,0,N/A,N/A,1.3,N/A,N/A,N/A,15,Neither SAT nor ACT,"$8,090 (2015-16)",N/A,19,N/A,N/A,279,N/A,N/A,"4,181","$16,800 (2015-16)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59%,Not offered,104,$25,Offered at cooperating institution (Central Michigan University),21%,"$24,758",81%,3.5,"$27,491","$23,908",$0,$0,"$21,206","$19,258","$33,029",125,1%,68.1%,No,No,146,68%,116,22%,50%,82%,67%,75%,146,3.2,25.0,1.3%,Not offered,6,5,8%,-4,2.5,80.8%,63%,83%,81,Either SAT or ACT,"$10,238 (2016-17)",21-27,43,Selective,11:1,113,65%,86%,"1,385","$37,310 (2016-17)",24%,25%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51%,Not offered,70,$25,Offered at cooperating institution (Lehigh University),8.8%,"$19,663",75%,3.3,"$18,645","$15,438",$0,$0,"$14,617","$11,260","$43,177",121,1%,71%,No,No,62,74%,114,10%,35%,72%,N/A,92%,122,N/A,26.0,0.3%,Not offered,0,0,17%,4,2.3,61.2%,47%,76%,48,Either SAT or ACT,"$11,240 (2016-17)",900-1090,45,Selective,12:1,92,75%,62%,"2,856","$32,270 (2016-17)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42%,Offered at cooperating institution (Marquette University),35,N/A,Offered at cooperating institution (Marquette University),12%,"$21,917",72%,3,"$17,376","$14,986",$0,$0,"$11,625","$9,256","$43,185",47,0%,76.5%,No,No,19,77%,49,16%,36%,91%,79%,84%,130,N/A,27.0,0.3%,Not offered,N/A,3,5%,1,3,68%,41%,85%,40,Either SAT or ACT,"$7,884 (2016-17)",16-22,58,Less selective,10:1,137,40%,90%,"2,209","$26,932 (2016-17)",0,1%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,17,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,N/A,81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,108,N/A,141,N/A,N/A,N/A,N/A,N/A,112,N/A,28.0,N/A,N/A,N/A,N/A,N/A,N/A,1.7,N/A,N/A,N/A,N/A,Neither SAT nor ACT,N/A,N/A,3,N/A,N/A,116,N/A,N/A,N/A,"$7,500 (2015-16)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Neither SAT nor ACT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$31,220 (2015-16)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43%,N/A,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,N/A,21,N/A,N/A,N/A,N/A,N/A,17,N/A,30.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Neither SAT nor ACT,"$6,202 (2015-16)",N/A,24,N/A,N/A,26,N/A,N/A,N/A,"$11,700 (2015-16)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18%,N/A,118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,144,N/A,128,N/A,N/A,N/A,N/A,N/A,169,N/A,31.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Neither SAT nor ACT,N/A,N/A,22,N/A,N/A,148,N/A,N/A,N/A,"$11,004 (2015-16)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38%,Offered at cooperating institution (Western New England University),162,N/A,Offered at cooperating institution (Western New England University),7.4%,"$26,741",67%,2.8,"$24,344","$21,707","$16,679","$15,621","$13,482","$13,324","$22,976",58,4%,50.5%,No,No,289,64%,285,N/A,N/A,64%,30%,91%,271,2.5,32.0,3.2%,Not offered,5,4,39%,-2,1.6,37.8%,40%,91%,40,Either SAT or ACT,"$13,490 (2016-17)",790-980,N/A,Less selective,14:1,292,65%,91%,"3,542","$33,140 (2016-17)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
